student_id,gender,study_hours,attendance,previous_marks,final_marks
STU001,Male,10.3,84.3,78.8,66.6
STU002,Female,9.0,96.6,75.4,64.0
STU003,Female,10.3,85.7,40.0,52.8
STU004,Female,3.0,87.5,66.5,58.2
STU005,Male,9.2,93.4,68.3,61.0
STU006,Male,11.2,97.0,53.7,65.8
STU007,Male,15.2,97.3,81.6,66.0
STU008,Female,8.2,88.5,58.3,56.6
STU009,Female,7.2,96.8,75.2,66.9
STU010,Female,8.2,89.7,100.0,75.5
STU011,Male,13.2,90.8,52.7,58.8
STU012,Female,11.2,88.6,70.2,58.4
STU013,Female,8.1,96.3,67.1,61.7
STU014,Male,11.8,78.9,64.8,55.5
STU015,Male,10.3,88.8,81.1,66.1
STU016,Male,13.4,96.7,85.3,74.1
STU017,Male,7.5,93.3,81.3,60.0
STU018,Female,8.9,98.6,63.3,66.5
STU019,Male,8.6,95.8,100.0,72.4
STU020,Male,4.9,89.0,50.8,56.1
STU021,Female,11.0,95.6,59.6,56.1
STU022,Male,10.9,96.4,74.0,63.9
STU023,Male,10.0,84.1,73.1,64.4
STU024,Male,9.2,88.5,77.9,61.3
STU025,Male,5.0,87.4,91.0,62.7
STU026,Female,8.5,97.2,70.6,64.6
STU027,Male,8.8,98.6,73.4,66.8
STU028,Female,7.2,98.6,64.9,59.2
STU029,Female,9.4,86.2,79.1,64.8
STU030,Male,11.4,94.0,68.2,62.8
STU031,Female,16.6,98.3,68.2,75.8
STU032,Male,10.6,88.5,78.5,65.7
STU033,Male,10.9,95.3,84.4,71.3
STU034,Female,9.7,85.4,45.5,64.5
STU035,Female,3.3,92.6,76.3,54.5
STU036,Female,9.9,92.8,68.8,69.6
STU037,Male,10.2,91.4,83.4,57.6
STU038,Male,18.6,94.1,69.0,65.8
STU039,Female,9.3,90.1,87.6,63.1
STU040,Male,11.1,94.5,63.9,59.7
STU041,Male,9.9,93.3,45.2,57.9
STU042,Female,5.9,77.6,84.6,60.2
STU043,Male,14.0,91.1,61.9,64.8
STU044,Female,12.6,95.9,53.0,62.7
STU045,Male,12.8,94.6,72.2,71.0
STU046,Female,6.8,95.3,69.1,64.9
STU047,Male,14.9,94.8,81.9,68.8
STU048,Female,5.1,89.4,82.7,60.3
STU049,Female,12.1,95.7,73.1,68.5
STU050,Male,17.7,91.2,61.4,71.8
STU051,Female,6.5,94.5,75.4,59.8
STU052,Female,8.0,93.3,74.0,63.3
STU053,Female,10.3,96.1,78.8,68.7
STU054,Female,8.2,89.6,61.5,56.0
STU055,Female,4.6,92.5,67.2,54.7
STU056,Female,10.2,89.5,78.1,66.4
STU057,Male,6.3,97.7,87.0,66.7
STU058,Male,11.7,97.8,83.6,74.2
STU059,Male,6.8,88.1,73.0,56.0
STU060,Male,15.4,83.3,66.2,64.6
STU061,Male,7.3,86.4,76.8,60.4
STU062,Male,8.9,76.7,58.9,57.6
STU063,Female,12.8,96.0,62.2,62.6
STU064,Male,5.7,77.4,90.1,61.3
STU065,Male,10.8,85.0,76.8,65.7
STU066,Female,14.6,91.8,67.8,75.1
STU067,Male,4.4,87.2,81.9,55.9
STU068,Female,10.6,89.7,87.4,66.6
STU069,Male,10.9,78.7,66.7,55.8
STU070,Female,12.7,94.5,66.9,60.4
STU071,Female,5.7,89.0,65.4,64.1
STU072,Male,5.4,86.9,83.6,56.5
STU073,Male,11.8,98.9,83.7,69.4
STU074,Female,11.0,87.3,88.6,74.5
STU075,Female,10.9,98.6,84.1,64.7
STU076,Female,11.2,86.6,52.4,61.4
STU077,Female,7.6,85.1,75.4,55.1
STU078,Male,10.8,96.5,59.3,68.4
STU079,Male,11.0,86.7,65.8,53.5
STU080,Male,7.5,94.6,74.0,56.5
STU081,Female,16.5,96.3,82.0,74.3
STU082,Female,11.7,95.4,61.3,68.5
STU083,Male,5.8,88.8,44.1,50.6
STU084,Male,12.3,92.8,74.2,66.9
STU085,Male,6.6,93.6,100.0,75.4
STU086,Male,12.8,78.3,69.6,71.0
STU087,Female,14.1,91.9,72.6,72.1
STU088,Female,7.1,96.0,93.4,66.9
STU089,Female,13.4,96.8,79.1,70.7
STU090,Male,11.4,95.7,74.6,63.3
STU091,Male,12.9,91.8,77.3,69.9
STU092,Female,16.6,95.9,75.0,67.8
STU093,Female,9.1,90.1,58.3,61.2
STU094,Female,7.4,98.2,55.9,67.3
STU095,Female,6.9,95.8,94.6,72.4
STU096,Female,7.1,90.4,74.2,59.8
STU097,Female,9.7,91.0,73.2,66.6
STU098,Male,11.2,92.7,70.9,72.5
STU099,Male,11.0,93.2,81.4,75.4
STU100,Male,12.9,96.1,100.0,73.8
